No,企業名,業種(大分類),業種(小分類),採用情報URL
594,山一精工株式会社,金属製品,半導体・電子部品・その他／精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
595,辻村電工株式会社,設備・設備工事関連,重電・産業用電気機器／総合電機（電気・電子機器）／機械設計,https://job.rikunabi.com//2022/company/r498200060/employ/
596,株式会社タカギセイコー,化学,自動車／輸送機器／家電・ＡＶ機器／コンピュータ・通信機器・ＯＡ機器,https://job.rikunabi.com//2022/company/r498200060/employ/
597,イリソ電子工業株式会社,半導体・電子部品・その他,商社（電機・電子・半導体）／自動車／コンピュータ・通信機器・ＯＡ機器／家電・ＡＶ機器,https://job.rikunabi.com//2022/company/r498200060/employ/
598,サカエ理研工業株式会社,自動車,輸送機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
599,株式会社ニフコ,自動車,住宅／家電・ＡＶ機器／アパレル・服飾・雑貨・皮革製品／文具・事務機器・インテリア,https://job.rikunabi.com//2022/company/r498200060/employ/
600,ＮＳＫワーナー株式会社,輸送機器,自動車／金属製品／機械／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
601,住友電気工業株式会社,非鉄金属,自動車／コンピュータ・通信機器・ＯＡ機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
602,株式会社SCREENホールディングス＋他6社,重電・産業用電気機器,半導体・電子部品・その他／印刷関連／医療機器／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
603,エンケイ株式会社,輸送機器,自動車／非鉄金属／専門店（複合）,https://job.rikunabi.com//2022/company/r498200060/employ/
604,塚田理研工業株式会社,化学,自動車／半導体・電子部品・その他／コンピュータ・通信機器・ＯＡ機器,https://job.rikunabi.com//2022/company/r498200060/employ/
605,株式会社ミルボン,化学,医薬品／化粧品／商社（医薬品）／商社（化粧品）,https://job.rikunabi.com//2022/company/r498200060/employ/
606,ヤマハ株式会社,その他製造,家電・ＡＶ機器／半導体・電子部品・その他／コンピュータ・通信機器・ＯＡ機器／インターネット関連,https://job.rikunabi.com//2022/company/r498200060/employ/
607,株式会社　共和電業,精密機器,半導体・電子部品・その他／機械／コンピュータ・通信機器・ＯＡ機器／自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
608,リョービ株式会社,機械,自動車／金属製品／輸送機器／非鉄金属,https://job.rikunabi.com//2022/company/r498200060/employ/
609,アイシン高丘株式会社,自動車,金属製品／その他製造／輸送機器／家電・ＡＶ機器,https://job.rikunabi.com//2022/company/r498200060/employ/
610,ＫＹＢ株式会社,輸送機器,自動車／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
611,フィード・ワン株式会社,食品,水産／農林／商社（食料品）,https://job.rikunabi.com//2022/company/r498200060/employ/
612,株式会社イリア,建設,建設コンサルタント／建築設計／設備・設備工事関連／商社（インテリア）,https://job.rikunabi.com//2022/company/r498200060/employ/
613,日産化学株式会社,化学,半導体・電子部品・その他／医薬品／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
614,森井紙器工業株式会社,紙・パルプ,印刷関連／商社（紙）／文具・事務機器・インテリア,https://job.rikunabi.com//2022/company/r498200060/employ/
615,株式会社　源吉兆庵,食品,その他製造／商社（食料品）／外食・レストラン・フードサービス／百貨店,https://job.rikunabi.com//2022/company/r498200060/employ/
616,小林製薬株式会社,化学,医薬品／化粧品／食品,https://job.rikunabi.com//2022/company/r498200060/employ/
617,ＫＨネオケム株式会社,化学,化粧品／プラント・エンジニアリング／半導体・電子部品・その他／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
618,大塚化学株式会社,化学,,https://job.rikunabi.com//2022/company/r498200060/employ/
619,株式会社湖池屋,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
620,株式会社ＩＨＩ,機械,プラント・エンジニアリング／重電・産業用電気機器／輸送機器／精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
621,日置電機株式会社,重電・産業用電気機器,総合電機（電気・電子機器）／精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
622,株式会社木村鋳造所,鉄鋼,機械／輸送機器／自動車／重電・産業用電気機器,https://job.rikunabi.com//2022/company/r498200060/employ/
623,はごろもフーズ株式会社,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
624,サントリーグループ（サントリーホールディングス株式会社・サントリー食品インターナショナル株式会社）,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
625,ダイドードリンコ株式会社,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
626,中央精機株式会社,自動車,金属製品／輸送機器／タイヤ・ゴム製品／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
627,昭和電工株式会社,化学,ガラス・セラミックス／半導体・電子部品・その他／非鉄金属／化粧品,https://job.rikunabi.com//2022/company/r498200060/employ/
628,杏林製薬株式会社 ,医薬品,化学／化粧品,https://job.rikunabi.com//2022/company/r498200060/employ/
629,金印株式会社,食品,商社（食料品）／その他商社,https://job.rikunabi.com//2022/company/r498200060/employ/
630,ナカシマグループ(ナカシマプロペラ・帝人ナカシマメディカル・システムズナカシマ）,非鉄金属,医療機器／機械／情報処理／輸送機器,https://job.rikunabi.com//2022/company/r498200060/employ/
631,日本ベーリンガーインゲルハイム株式会社,医薬品,化学,https://job.rikunabi.com//2022/company/r498200060/employ/
632,コスモエネルギーホールディングス株式会社＋他3社,石油・石炭,エネルギー／化学／プラント・エンジニアリング／商社（石油製品）,https://job.rikunabi.com//2022/company/r498200060/employ/
633,三井製糖株式会社,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
634,オイレス工業株式会社,機械,自動車／精密機器／建設／金属製品,https://job.rikunabi.com//2022/company/r498200060/employ/
